Date,Daily PnL
2024-07-19,3.98447667
2024-07-21,0.43286254000000013
2024-08-01,15.59532329
2024-08-09,1.08220673
2024-08-23,9.46243584
2024-08-24,0.7775124
2024-09-07,2.8126529
2024-09-08,1.66369
2024-09-09,59.57458037000001
2024-09-10,0.80169738
2024-09-11,0.08841472000000002
2024-09-12,0.22335439
2024-09-13,0.07386561999999999
2024-09-14,2.0303508900000002
2024-09-15,1.1485128
2024-09-17,6.62029736
2024-09-18,1.75387204
2024-09-19,0.36564524
2024-09-20,0.19689008
2024-09-21,0.34163350000000003
2024-09-22,0.09965045
2024-09-23,0.68796131
2024-09-24,3.71002469
2024-09-25,9.60055605
2024-09-26,13.46037459
2024-09-27,3.2149025399999998
2024-09-29,-2.79911221
2024-09-30,-6.39343819
2024-10-01,-14.6563533
2024-10-02,-3.10236446
2024-10-03,-29.74772586
2024-10-04,3.54332579
2024-10-05,51.61349887
2024-10-06,2.34672136
2024-10-07,4.14086719
2024-10-08,3.1991413599999996
2024-10-09,-1.69604056
2024-10-10,-4.34190934
2024-10-11,48.57622
2024-10-14,11.554366439999999
2024-10-15,-0.19026869
2024-10-16,-0.13148675
2024-10-17,-9.14809304
2024-10-18,13.650689819999998
2024-10-22,-2.94934891
2024-10-24,-1.17334045
2024-10-25,-1.46352471
2024-10-26,-14.734480210000001
2024-10-28,0.41601529
2024-10-29,22.60158147
2024-10-30,15.548029419999999
2024-11-01,-18.59357643
2024-11-02,-1.4919686
2024-11-03,-24.247046819999998
2024-11-05,-1.327744
2024-11-06,17.92960759
2024-11-07,-0.72970238
2024-11-08,-0.90145261
2024-11-09,41.739357139999996
2024-11-10,2.02442388
2024-11-11,2.17276171
2024-11-12,0.01362809
2024-11-13,-3.26010933
2024-11-14,0.52707514
2024-11-15,0.27968060999999983
2024-11-16,25.842591109999997
2024-11-17,14.363081470000001
2024-11-18,8.62364131
2024-11-19,0.48829688
2024-11-20,106.96140652
2024-11-21,14.07780395
2024-11-22,-0.21056455999999998
2024-11-23,11.69132596
2024-11-24,-3.65081857
2024-11-25,2.56678511
2024-11-26,-3.76068474
2024-11-27,-2.35913065
2024-11-28,-0.1266664
2024-11-29,19.73029431
2024-11-30,0.20310802
2024-12-01,1.10242716
2024-12-02,-9.99842433
2024-12-03,28.562959000000003
2024-12-06,9.83207035
2024-12-07,0.40662627000000007
2024-12-08,10.322834969999999
2024-12-09,-3.7252462
2024-12-10,28.885175529999994
2024-12-11,66.38082174
2024-12-15,-0.70247914
2024-12-16,0.70802607
2024-12-17,0.55865171
2024-12-19,-27.85024983
2024-12-20,-23.674424459999997
2024-12-21,-0.8582393099999995
2024-12-22,-1.75423828
2024-12-23,-3.5026504700000003
2024-12-24,6.5002029100000005
2024-12-25,-4.54658767
2024-12-27,-0.50807304
2024-12-28,-3.9820796200000004
2024-12-30,-2.07201119
2024-12-31,-13.19873888
2025-01-01,0.8014632
2025-01-02,-3.25107855
2025-01-03,7.81202855
2025-01-04,3.63522819
2025-01-05,11.52269807
2025-01-06,1.2271381
2025-01-10,-14.35446838
